shipment_id,timestamp,severity,thread,source,event,station,box_barcode,articles,exp_weight_kg,act_weight_kg,tare_weight_kg,product_weight_kg,abs_weight_diff,print_quality_pct,line_speed_mps,slam,iso_grade,pckg_problem_found,weight_diff,weight_diff_ratio,distance_to_threshold,is_kot
Sp260318090056,2026-01-12 00:02:14,WARN,KickoutThread-1,com.logistic.conveyer.ScaleHandlerSys,Overweight detected,Station-04,BC_MEDIUM200,5,1.791,1.83581,0.11,1.7258099999999998,0.06519000000000008,,,,,N,0.06519000000000008,0.036,0.043698000000000084,1
Sp260318090057,2026-01-12 00:02:28,INFO,LabelThread-3,com.logistic.labelmachine.SystemManager,Label printed,Station-06,XX_LARGE60,18,4.247,4.51291,0.24,4.2729099999999995,0.025909999999999656,100.0,2.21,SLAM5_LP1,A,,-0.025909999999999656,0.006,-0.025054000000000347,0
Sp260318090058,2026-01-12 00:02:42,WARN,KickoutThread-1,com.logistic.conveyer.ScaleHandlerSys,Overweight detected,Station-07,BC_LARGE400,3,3.715,3.6481,0.13,3.5181,0.19689999999999985,,,,,N,0.19689999999999985,0.053,0.15231999999999984,1
Sp260318090059,2026-01-12 00:02:55,WARN,KickoutThread-1,com.logistic.conveyer.ScaleHandlerSys,Overweight detected,Station-05,XX_LARGE80,20,3.986,4.45378,0.29,4.16378,0.17777999999999983,,,,,Y,-0.17777999999999983,0.045,0.1299479999999998,1
Sp260318090060,2026-01-12 00:03:09,INFO,LabelThread-4,com.logistic.labelmachine.SystemManager,Label printed,Station-02,BC_LARGE400,8,5.585,5.76582,0.13,5.63582,0.050819999999999865,99.96875,1.87,SLAM5_LP2,A,,-0.050819999999999865,0.009,-0.01620000000000013,0
Sp260318090061,2026-01-12 00:03:21,INFO,LabelThread-3,com.logistic.labelmachine.SystemManager,Label printed,Station-05,XX_LARGE60,9,0.778,1.02181,0.24,0.7818100000000001,0.003810000000000091,99.9125,1.71,SLAM5_LP1,A,,-0.003810000000000091,0.005,-0.0055259999999999095,0
Sp260318090062,2026-01-12 00:03:33,INFO,LabelThread-1,com.logistic.labelmachine.SystemManager,Label printed,Station-12,RK_SMALL70,8,3.43,3.55087,0.09,3.4608700000000003,0.030870000000000175,99.88125,2.34,SLAM5_LP2,A,,-0.030870000000000175,0.009,-0.010289999999999827,0
Sp260318090063,2026-01-12 00:03:47,INFO,LabelThread-1,com.logistic.labelmachine.SystemManager,Label printed,Station-02,RK_SMALL90,4,2.894,3.03889,0.12,2.9188899999999998,0.024889999999999635,99.82499999999999,1.75,SLAM5_LP1,A,,-0.024889999999999635,0.009,-0.009838000000000367,0
Sp260318090064,2026-01-12 00:04:02,INFO,LabelThread-2,com.logistic.labelmachine.SystemManager,Label printed,Station-11,BC_SMALL100,17,1.186,1.28205,0.09,1.1920499999999998,0.006049999999999889,99.79374999999999,1.39,SLAM5_LP2,A,,-0.006049999999999889,0.005,-0.008182000000000111,0
Sp260318090065,2026-01-12 00:04:15,INFO,LabelThread-3,com.logistic.labelmachine.SystemManager,Label printed,Station-06,BC_SMALL100,13,3.179,3.23149,0.09,3.14149,0.03750999999999971,99.73749999999998,2.13,SLAM5_LP1,A,,0.03750999999999971,0.012,-0.0006380000000002911,0
Sp260318090066,2026-01-12 00:04:28,INFO,LabelThread-3,com.logistic.labelmachine.SystemManager,Label printed,Station-06,RK_SMALL60,9,1.579,1.66116,0.07,1.59116,0.012159999999999949,99.70624999999998,1.41,SLAM5_LP2,A,,-0.012159999999999949,0.008,-0.006788000000000051,0
Sp260318090067,2026-01-12 00:04:41,INFO,VerifyThread-4,com.logistic.labelmachine.SystemManager,Verification successful,Station-05,RK_SMALL70,20,1.587,1.6597,0.09,1.5696999999999999,0.017300000000000093,99.64999999999998,0.9,SLAM5_LP1,A,,0.017300000000000093,0.011,-0.0017439999999999053,0
Sp260318090068,2026-01-12 00:04:56,INFO,LabelThread-1,com.logistic.labelmachine.SystemManager,Label printed,Station-04,RK_SMALL70,11,5.939,6.06879,0.09,5.97879,0.03978999999999999,99.61874999999998,2.26,SLAM5_LP2,A,,-0.03978999999999999,0.007,-0.031478000000000006,0
Sp260318090069,2026-01-12 00:05:08,WARN,KickoutThread-1,com.logistic.conveyer.ScaleHandlerSys,Overweight detected,Station-07,RK_SMALL90,11,4.837,5.06196,0.12,4.94196,0.10496000000000016,,,,,N,-0.10496000000000016,0.022,0.046916000000000166,1
Sp260318090070,2026-01-12 00:05:22,INFO,LabelThread-4,com.logistic.labelmachine.SystemManager,Label printed,Station-01,XX_LARGE60,1,4.737,5.02153,0.24,4.78153,0.04452999999999996,99.56249999999997,1.01,SLAM5_LP1,A,,-0.04452999999999996,0.009,-0.012314000000000047,0
Sp260318090071,2026-01-12 00:05:37,INFO,LabelThread-4,com.logistic.labelmachine.SystemManager,Label printed,Station-03,BC_MEDIUM200,11,1.373,1.48794,0.11,1.37794,0.0049399999999999444,99.53124999999997,1.97,SLAM5_LP2,A,,-0.0049399999999999444,0.004,-0.011536000000000057,0
Sp260318090072,2026-01-12 00:05:52,INFO,VerifyThread-1,com.logistic.labelmachine.SystemManager,Verification successful,Station-10,XX_LARGE80,17,0.528,0.81356,0.29,0.52356,0.0044399999999999995,99.47499999999997,1.35,SLAM5_LP1,A,,0.0044399999999999995,0.008,-0.001896000000000001,0
Sp260318090073,2026-01-12 00:06:04,WARN,KickoutThread-1,com.logistic.conveyer.ScaleHandlerSys,Overweight detected,Station-10,RK_SMALL60,3,0.669,0.77553,0.07,0.70553,0.03652999999999995,,,,,N,-0.03652999999999995,0.055,0.02850199999999995,1
Sp260318090074,2026-01-12 00:06:17,INFO,LabelThread-4,com.logistic.labelmachine.SystemManager,Label printed,Station-03,RK_SMALL90,1,5.145,5.22487,0.12,5.10487,0.040129999999999555,99.44374999999997,1.96,SLAM5_LP2,A,,0.040129999999999555,0.008,-0.02161000000000044,0
Sp260318090075,2026-01-12 00:06:32,INFO,LabelThread-2,com.logistic.labelmachine.SystemManager,Label printed,Station-03,RK_SMALL90,16,3.05,3.19531,0.12,3.07531,0.025310000000000166,99.38749999999996,1.73,SLAM5_LP1,A,,-0.025310000000000166,0.008,-0.011289999999999835,0
Sp260318090076,2026-01-12 00:06:45,INFO,LabelThread-2,com.logistic.labelmachine.SystemManager,Label printed,Station-02,RK_SMALL90,9,2.849,2.94934,0.12,2.8293399999999997,0.019660000000000455,99.35624999999996,0.94,SLAM5_LP2,A,,0.019660000000000455,0.007,-0.014527999999999548,0
Sp260318090077,2026-01-12 00:06:57,INFO,LabelThread-4,com.logistic.labelmachine.SystemManager,Label printed,Station-02,BC_LARGE400,18,1.172,1.29848,0.13,1.1684800000000002,0.0035199999999997456,99.29999999999995,1.91,SLAM5_LP1,A,,0.0035199999999997456,0.003,-0.010544000000000255,0
Sp260318090078,2026-01-12 00:07:10,WARN,KickoutThread-1,com.logistic.conveyer.ScaleHandlerSys,Overweight detected,Station-09,XX_LARGE80,5,2.765,3.12081,0.29,2.83081,0.06580999999999992,,,,,N,-0.06580999999999992,0.024,0.03262999999999992,1
Sp260318090079,2026-01-12 00:07:23,INFO,LabelThread-1,com.logistic.labelmachine.SystemManager,Label printed,Station-11,RK_SMALL60,6,5.73,5.83152,0.07,5.76152,0.03151999999999955,99.26874999999995,0.81,SLAM5_LP2,A,,-0.03151999999999955,0.006,-0.03724000000000045,0
Sp260318090080,2026-01-12 00:07:36,INFO,LabelThread-1,com.logistic.labelmachine.SystemManager,Label printed,Station-11,BC_MEDIUM200,11,2.626,2.76305,0.11,2.65305,0.02705000000000002,99.21249999999995,1.97,SLAM5_LP1,A,,-0.02705000000000002,0.01,-0.00446199999999998,0
Sp260318090081,2026-01-12 00:07:48,INFO,LabelThread-1,com.logistic.labelmachine.SystemManager,Label printed,Station-12,RK_SMALL90,6,5.705,5.76167,0.12,5.6416699999999995,0.06333000000000055,99.18124999999995,0.81,SLAM5_LP2,A,,0.06333000000000055,0.011,-0.0051299999999994544,0
Sp260318090082,2026-01-12 00:08:01,INFO,LabelThread-4,com.logistic.labelmachine.SystemManager,Label printed,Station-05,RK_SMALL60,11,3.215,3.25864,0.07,3.1886400000000004,0.026359999999999495,99.12499999999994,1.36,SLAM5_LP1,A,,0.026359999999999495,0.008,-0.012220000000000501,0
Sp260318090083,2026-01-12 00:08:16,WARN,KickoutThread-1,com.logistic.conveyer.ScaleHandlerSys,Overweight detected,Station-12,BC_LARGE400,19,4.511,4.50522,0.13,4.37522,0.13578000000000046,,,,,N,0.13578000000000046,0.03,0.08164800000000046,1
Sp260318090084,2026-01-12 00:08:31,INFO,LabelThread-2,com.logistic.labelmachine.SystemManager,Label printed,Station-11,RK_SMALL90,20,2.122,2.25176,0.12,2.13176,0.009759999999999991,99.09374999999994,1.29,SLAM5_LP2,A,,-0.009759999999999991,0.005,-0.01570400000000001,0
Sp260318090085,2026-01-12 00:08:44,INFO,LabelThread-4,com.logistic.labelmachine.SystemManager,Label printed,Station-04,RK_SMALL70,9,0.906,0.99147,0.09,0.90147,0.004530000000000034,99.03749999999994,2.21,SLAM5_LP1,A,,0.004530000000000034,0.005,-0.006341999999999966,0
